strain	gisaid_epi_isl	submitting_lab	url	author	accession	country_exposure	location														
Austria/CeMM0254/2020	EPI_ISL_438083	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Alexandra Popa et al B (https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1)																	
Slovenia/LabVir-3660/2020	EPI_ISL_960308	"NLZOH, Laboratory for Virology"		Katarina Prosenc (Laboratory for Virology) et al																	
Germany/BY-IMB02204/2020	EPI_ISL_732546	Bundeswehr Institute of Microbiology		Markus Antwerpen et al			Munich														
Luxembourg/LNS3694003/2020	EPI_ISL_417528	"Laboratoire Nationale de Santé, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al																	
Switzerland/GR-ETHZ-100319/2020	EPI_ISL_574948	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al																	
Netherlands/NA_144/2020	EPI_ISL_422684	Erasmus Medical Center		Bas Oude Munnink et al																	
Oman/RESP-20-4400/2020	EPI_ISL_457990	Oman-NIC		Samira Al-Maruqi et al																	
Japan/PG-10502/2020	EPI_ISL_901225	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Belgium/rega-0414475/2020	EPI_ISL_476985	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Veerle														
Austria/CeMM1049/2020	EPI_ISL_583866	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Alexandra Popa et al A																	
Canada/ON-OICR-SLB2787/2020	EPI_ISL_538321	Ontario Institute for Cancer Research		Prameet M. Sheth et al																	
Switzerland/GR-ETHZ-100844/2020	EPI_ISL_451791	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al																	
Belgium/BJ-0325181/2020	EPI_ISL_420438	"KU Leuven, Clinical and Epidemiological Virology"		Joan Marti-Carreras et al (https://dx.doi.org/10.1101/2020.05.05.078758)			Herselt														
Switzerland/GR-ETHZ-100790/2020	EPI_ISL_451740	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al																	
Belgium/VHV-0324118/2020	EPI_ISL_420375	"KU Leuven, Clinical and Epidemiological Virology"		Joan Marti-Carreras et al (https://dx.doi.org/10.1101/2020.05.05.078758)			Tervuren														
Japan/IC-0011/2020	EPI_ISL_591357	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B		Europe															
Belgium/UGent-9/2020	EPI_ISL_425053	Onderzoeksgroep Virologie		Nick Vereecke et al A (https://dx.doi.org/10.1101/2020.05.05.078758)																	
Netherlands/NA_201/2020	EPI_ISL_422736	Erasmus Medical Center		Bas Oude Munnink et al																	
Portugal/PT0533/2020	EPI_ISL_454257	Instituto Nacional de Saude (INSA)		Borges et al et al																	
Portugal/PT0534/2020	EPI_ISL_454258	Instituto Nacional de Saude (INSA)		Borges et al et al																	
Portugal/PT0278/2020	EPI_ISL_453992	Instituto Nacional de Saude (INSA)		Borges et al et al																	
Portugal/PT0281/2020	EPI_ISL_453995	Instituto Nacional de Saude (INSA)		Borges et al et al																	
Portugal/PT0282/2020	EPI_ISL_453996	Instituto Nacional de Saude (INSA)		Borges et al et al																	
Portugal/PT0279/2020	EPI_ISL_453993	Instituto Nacional de Saude (INSA)		Borges et al et al																	
Portugal/PT0535/2020	EPI_ISL_454259	Instituto Nacional de Saude (INSA)		Borges et al et al																	
Portugal/PT0280/2020	EPI_ISL_453994	Instituto Nacional de Saude (INSA)		Borges et al et al																	
Austria/CeMM0631/2020	EPI_ISL_475933	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Alexandra Popa et al B (https://dx.doi.org/10.1101/2020.07.15.204339v1)																	
Slovenia/LabVir-4555/2020	EPI_ISL_960306	"NLZOH, Laboratory for Virology"		Katarina Prosenc (Laboratory for Virology) et al																	
England/LOND-124F659/2020	EPI_ISL_665162	COVID-19 Genomics UK (COG-UK) Consortium		Judith Heaney et al																	
NewZealand/20VR1799/2020	EPI_ISL_456258	Institute of Environmental Science and Research (ESR)		Matt Storey et al B																	
Belgium/VRJM-0323114/2020	EPI_ISL_420371	"KU Leuven, Clinical and Epidemiological Virology"		Joan Marti-Carreras et al (https://dx.doi.org/10.1101/2020.05.05.078758)			Hemiksem														
Belgium/UGent-120/2020	EPI_ISL_475080	Onderzoeksgroep Virologie		Nick Vereecke et al B																	
Australia/VIC661/2020	EPI_ISL_426957	"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute"		Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)																	
Netherlands/NA_230/2020	EPI_ISL_422765	Erasmus Medical Center		Bas Oude Munnink et al																	
Belgium/Rega-0329232/2020	EPI_ISL_458202	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Wilsele														
Australia/VIC1059/2020	EPI_ISL_430541	"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, The Peter Doherty Institute for Infection and Immunity"		Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)																	
Belgium/CL-0330332/2020	EPI_ISL_462186	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Wijnegem														
Ireland/D-SVUH-R6027/2020	EPI_ISL_596675	St.Vincent's University Hospital		Mary Lucey et al																	
Ireland/D-SVUH-R6456/2020	EPI_ISL_596673	St.Vincent's University Hospital		Mary Lucey et al																	
Netherlands/NA_335/2020	EPI_ISL_455140	Erasmus Medical Center		Bas Oude Munnink et al																	
Ireland/D-NVRL-AIIDV0081v1/2020	EPI_ISL_644279	Irish Coronavirus Sequencing Consortium - National Virus Reference Laboratory		Michael Carr et al																	
Netherlands/NA_348/2020	EPI_ISL_455153	Erasmus Medical Center		Bas Oude Munnink et al																	
England/OXON-AFB5D/2020	EPI_ISL_478808	COVID-19 Genomics UK (COG-UK) Consortium		Tanya Golubchik et al																	
Ireland/D-NVRL-AIIDV0081v2/2020	EPI_ISL_644286	Irish Coronavirus Sequencing Consortium - National Virus Reference Laboratory		Michael Carr et al																	
England/NORW-EAC35/2020	EPI_ISL_457365	COVID-19 Genomics UK (COG-UK) Consortium		Dave J. Baker et al A (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)																	
England/NORW-EA1BE/2020	EPI_ISL_457333	COVID-19 Genomics UK (COG-UK) Consortium		Dave J. Baker et al A (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)																	
England/NORW-EAC08/2020	EPI_ISL_457362	COVID-19 Genomics UK (COG-UK) Consortium		Dave J. Baker et al A (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)																	
England/ALDP-9EE139/2020	EPI_ISL_589393	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		Jacquelyn Wynn et al																	
Australia/SAP214/2020	EPI_ISL_468032	SA Pathology		Lex Leong et al																	
Australia/SAP305/2020	EPI_ISL_468037	SA Pathology		Lex Leong et al																	
Poland/1109500/2020	EPI_ISL_450526	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Maciej Grzybek et al																	
Malaysia/UNIMAS-M3482/2020	EPI_ISL_718166	Institute of Health and Community Medicine		David Perera et al																	
Oman/16904/2020	EPI_ISL_525423	Biotechnology & OMICs Laboratory		Sajjad Asaf et al																	
Oman/RESP-20-B-6588/2020	EPI_ISL_525429	Biotechnology & OMICs Laboratory		Samira Al-Mahruqi et al																	
Germany/BW-UT-004/2020	EPI_ISL_485812	"NGS Competence Center Tübingen, Institut für Medizinische Mikrobiologie und Hygiene, Universitätsklinikum Tübingen"		Angelov et al. et al			Tuebingen														
Romania/Focsani-268927/2020	EPI_ISL_471418	Cantacuzino Institute		Luiza Ustea et al			Focsani														
Ghana/NMIMR-NTRA-13166/2020	EPI_ISL_1018089	"Immunology, Noguchi Memorial Institute for Medical Research"		Adu et al																	
Oman/RESP-20-B-15349/2020	EPI_ISL_525426	Biotechnology & OMICs Laboratory		Sajjad Asaf et al																	
Egypt/CCHE57357-A-36/2020	EPI_ISL_812810	"Genomics Program, Children Cancer Hospital"		Hatem et al																	
Turkey/Ankara_GUMV_31394/2020	EPI_ISL_730569	"Gazi University Faculty of Medicine, Medical Virology Laboratory"		Erdem Şahin et al																	
Turkey/Ankara_GUMV_22790/2020	EPI_ISL_730571	"Gazi University Faculty of Medicine, Medical Virology Laboratory"		Erdem Şahin et al																	
Germany/BY-ChVir-1019/2020	EPI_ISL_450199	Department of Virology		Boehmer et al																	
Germany/BY-RKI-I-013857/2020	EPI_ISL_1143993	Robert Koch Institute		et al																	
Germany/BY-RKI-I-013858/2020	EPI_ISL_1143994	Robert Koch Institute		et al																	
Germany/BY-ChVir-1483/2020	EPI_ISL_450208	Department of Virology		Boehmer et al																	
Germany/BY-IMB00234/2020	EPI_ISL_732541	Bundeswehr Institute of Microbiology		Markus Antwerpen et al			Munich														
Germany/BY-ChVir-1289/2020	EPI_ISL_450203	Department of Virology		Boehmer et al																	
Germany/BY-ChVir-1020/2020	EPI_ISL_450200	Department of Virology		Boehmer et al																	
Germany/BY-ChVir-1017/2020	EPI_ISL_450209	Department of Virology		Boehmer et al																	
Germany/BY-ChVir-929/2020	EPI_ISL_406862	"Charité Universitätsmedizin Berlin, Institute of Virology"		Victor M Corman et al B (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)			Starnberg														
Germany/BY-ChVir-929-2/2020	EPI_ISL_450198	Department of Virology		Boehmer et al																	
Afghanistan/IMB07968/2020	EPI_ISL_1001003	Bundeswehr Institute of Microbiology		Markus Antwerpen et al																	
Rwanda/NRLNAT2020/2020	EPI_ISL_960283	GIGA Medical Genomics		Yvan Butera et al																	
France/IDF_HB_112006062745/2020	EPI_ISL_940160	"IAME UMR1137 Inserm, Université de Paris, Hôpital Bichat"		Antoine Bridier-Nahmias et al																	
Uganda/UG005/2020	EPI_ISL_451187	MRC/UVRI & LSHTM Uganda Research Unit		Dan Lule Bugembe et al (https://dx.doi.org/10.3201/eid2610.202575)																	
UnitedArabEmirates/skmc-01319674/2020	EPI_ISL_582626	Molecular/Surveillance lab Sheikh Khalifa Medical City		Amirtharaj Francis et al																	
Latvia/03/2020	EPI_ISL_421655	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Kenya/C6914/2020	EPI_ISL_568817	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi		Githinji et al 2020 et al																	
Egypt/CCHE57357-A-39/2020	EPI_ISL_812812	"Genomics Program, Children Cancer Hospital"		Hatem et al																	
Croatia/52102_ID1647_19/2020	EPI_ISL_994658																				
India/WB-IICB-029/2020	EPI_ISL_581504	"CSIR-Indian Institute of Chemical Biology, MEDICA Supercpecialty Hospital Kolkata"		Sujay Krishna Maity et al																	
India/WB-IICB-050/2020	EPI_ISL_944783	"CSIR-Indian Institute of Chemical Biology, MEDICA Supercpecialty Hospital Kolkata"		Sujay Krishna Maity et al																	
India/WB-IICB-042/2020	EPI_ISL_944768	"CSIR-Indian Institute of Chemical Biology, MEDICA Supercpecialty Hospital Kolkata"		Sujay Krishna Maity et al																	
India/WB-IICB-040/2020	EPI_ISL_944763	"CSIR-Indian Institute of Chemical Biology, MEDICA Supercpecialty Hospital Kolkata"		Sujay Krishna Maity et al																	
Croatia/1761_Dubrovnik/2020	EPI_ISL_454588	"University of Zagreb, Centre for research and knowledge transfer in biotechnology"		Ivan-Christian Kurolt et al																	
Turkey/36_Ankara_GUMV_50722/2020	EPI_ISL_984990	"Gazi University Faculty of Medicine, Medical Virology Laboratory"		Erdem Şahin et al																	
Malaysia/UNIMAS-11942/2020	EPI_ISL_718146	Institute of Health and Community Medicine		David Perera et al																	
Israel/2115990/2020	EPI_ISL_447334	Stern Lab		Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)																	
Mali/M002673/2020	EPI_ISL_487455	Bundeswehr Institut of Microbiology		Kouriba et al																	
France/IDF_HB_112011004269/2020	EPI_ISL_940175	"IAME UMR1137 Inserm, Université de Paris, Hôpital Bichat"		Antoine Bridier-Nahmias et al																	
HongKong/HKPU-01228/2020	EPI_ISL_1018123	"Department of Health Technology and Informatics, The Hong Kong Polytechnic University"		Gilman Kit-Hang Siu et al																	
Ghana/36523_S23/2020	EPI_ISL_515097	"WACCBIP, University of Ghana"		Ngoi et al																	
UnitedArabEmirates/1361/2020	EPI_ISL_859562	"BTC, Khalifa University"		Al Safar et al et al																	
Switzerland/AG-42216512/2020	EPI_ISL_581816	"University Hospital Basel, Clinical Bacteriology"		Madlen Stange et al																	
India/WB-IICB-009/2020	EPI_ISL_578175	"CSIR-Indian Institute of Chemical Biology, MEDICA Supercpecialty Hospital Kolkata"		Sujay Krishna Maity et al																	
India/WB-IICB-008/2020	EPI_ISL_578168	"CSIR-Indian Institute of Chemical Biology, MEDICA Supercpecialty Hospital Kolkata"		Sujay Krishna Maity et al																	
India/WB-IICB-012/2020	EPI_ISL_578180	"CSIR-Indian Institute of Chemical Biology, MEDICA Supercpecialty Hospital Kolkata"		Sujay Krishna Maity et al																	
India/WB-IICB-033/2020	EPI_ISL_661306	"CSIR-Indian Institute of Chemical Biology, MEDICA Supercpecialty Hospital Kolkata"		Sujay Krishna Maity et al																	
Senegal/SN-MBO-201765/2021	EPI_ISL_1167152	"L'institut de Recherche en Santé, de Surveillance Épidémiologique et de Formation (IRESSEF)"		Souleymane MBOUP et al																	
Senegal/SN-MBO-201902/2021	EPI_ISL_1167169	"L'institut de Recherche en Santé, de Surveillance Épidémiologique et de Formation (IRESSEF)"		Souleymane MBOUP et al																	
Senegal/SN-MBO-201894/2021	EPI_ISL_1167167	"L'institut de Recherche en Santé, de Surveillance Épidémiologique et de Formation (IRESSEF)"		Souleymane MBOUP et al																	
Senegal/SN-MBO-201670/2020	EPI_ISL_1167146	"L'institut de Recherche en Santé, de Surveillance Épidémiologique et de Formation (IRESSEF)"		Souleymane MBOUP et al																	
Senegal/SN-MBO-201781/2021	EPI_ISL_1167155	"L'institut de Recherche en Santé, de Surveillance Épidémiologique et de Formation (IRESSEF)"		Souleymane MBOUP et al																	
Senegal/SN-MBO-201654/2020	EPI_ISL_1167135	"L'institut de Recherche en Santé, de Surveillance Épidémiologique et de Formation (IRESSEF)"		Souleymane MBOUP et al																	
Senegal/SN-MBO-211936/2021	EPI_ISL_1167127	"L'institut de Recherche en Santé, de Surveillance Épidémiologique et de Formation (IRESSEF)"		Souleymane MBOUP et al																	
Senegal/SN-MBO-201859/2021	EPI_ISL_1167125	"L'institut de Recherche en Santé, de Surveillance Épidémiologique et de Formation (IRESSEF)"		Souleymane MBOUP et al																	
Senegal/SN-MBO-201771/2021	EPI_ISL_1167131	"L'institut de Recherche en Santé, de Surveillance Épidémiologique et de Formation (IRESSEF)"		Souleymane MBOUP et al																	
Senegal/SN-IRLPC-898/2021	EPI_ISL_1167181	"L'institut de Recherche en Santé, de Surveillance Épidémiologique et de Formation (IRESSEF)"		Souleymane MBOUP et al																	
Senegal/SN-MBO-201893/2021	EPI_ISL_1167134	"L'institut de Recherche en Santé, de Surveillance Épidémiologique et de Formation (IRESSEF)"		Souleymane MBOUP et al																	
