strain	gisaid_epi_isl	submitting_lab	url	author	accession	country_exposure	location											
Spain/AN-IBV-001927/2020	EPI_ISL_452447	SeqCOVID-SPAIN consortium/IBV(CSIC)		Inmaculada de Toro Peinado et al			Malaga											
Belgium/MBLG47178/2020	EPI_ISL_1029972	UCLouvain/IREC/MBLG		Jean Ruelle et al														
Singapore/159/2020	EPI_ISL_462277	"National Public Health Laboratory, National Centre for Infectious Diseases"		Mak TM et al														
Malaysia/8454/2020	EPI_ISL_501223	"Department of Medical Microbiology, Faculty of Medicine, University of Malaya"		Yoong Min CHONG et al														
HongKong/HKU-200723-053/2020	EPI_ISL_497820	"Department of Microbiology, The University of Hong Kong"		Kelvin K.W. To et al														
Wuhan/HB-WH4-204/2020	EPI_ISL_454954	State Key Laboratory of Biotherapy of Sichuan University		Baowen Du et al														
SouthKorea/KCDC12-NCCP43330/2020	EPI_ISL_812960	"Division of Pathogen Resource Management, Korea National Institute of Health, Korea Disease Control and Prevention Agency"		Kim et al														
Brazil/PE-IAM138/2020	EPI_ISL_500463	"WallauLab, Aggeu Magalhaes Institute"		Marcelo Henrique Santos Paiva et al														
Malaysia/IMR_WC14227/2020	EPI_ISL_490048	"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia"		Suppiah J et al														
USA/CA-CSMC26/2020	EPI_ISL_475636	"Cedars-Sinai Medical Center, Molecular Pathology Laboratory of Department of Pathology & Laboratory Medicine and Genomic Core"		Wenjuan Zhang et al														
Taiwan/TSGH-31/2020	EPI_ISL_447257	TSGH-CP molecular lab		Cherng-Lih Perng et al														
Indonesia/PP-EIJK-11/2020	EPI_ISL_568693	"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation"		Frilasita A Yudhaputri et al														
Netherlands/NH-RIVM-10269/2020	EPI_ISL_804382	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al														
Wuhan/HB-WH4-205/2020	EPI_ISL_454955	State Key Laboratory of Biotherapy of Sichuan University		Baowen Du et al														
Wuhan/HB-WH1-142/2020	EPI_ISL_454918	State Key Laboratory of Biotherapy of Sichuan University		Baowen Du et al														
England/20099015104/2020	EPI_ISL_464202	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al														
Indonesia/JK-EIJK-02/2020	EPI_ISL_437190	"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation"		Edison Johar et al														
Malaysia/0956/2020	EPI_ISL_501181	"Department of Medical Microbiology, Faculty of Medicine, University of Malaya"		Yoong Min CHONG et al														
Beijing/DT-travelIT04/2020	EPI_ISL_452351	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital		Siyuan Yang et al		Europe												
Iceland/431/2020	EPI_ISL_424455	deCODE genetics		Daniel F Gudbjartsson et al B (https://dx.doi.org/10.1056/NEJMoa2006100)														
Oman/RESP-20-3700/2020	EPI_ISL_457986	Oman-NIC		Samira Al-Maruqi et al														
Oman/RESP-20-6560/2020	EPI_ISL_457997	Oman-NIC		Samira Al-Maruqi et al														
Indonesia/JK-EIJK-03/2020	EPI_ISL_437191	"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation"		Edison Johar et al														
Indonesia/JI-ITDua-966NTv/2020	EPI_ISL_759966	"Institute of Tropical Disease, Universitas Airlangga"		Krisnoadi Rahardjo et al														
Portugal/PT0714/2020	EPI_ISL_510973	Instituto Nacional de Saude (INSA)		Borges et al et al														
Belgium/Rega-0329240/2020	EPI_ISL_458210	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Ghlin											
HongKong/HKPU-0613/2020	EPI_ISL_610177	"Department of Health Technology and Informatics, The Hong Kong Polytechnic University"		Siu et al														
Indonesia/YO-UGM-200927/2020	EPI_ISL_516806	"Genetics Working Group (Pokja Genetik) Faculty of Medicine, Public Health and Nursing Universitas Gadjah Mada (FK-KMK UGM); Disease Investigation Center Wates Ministry of Agriculture Indonesia; Department of Microbiology FK-KMK UGM; Laboratorium Diagnostik Yayasan Tahija World Mosquito Program (WMP) Yogyakarta Center for Tropical Medicine FK-KMK UGM; Integrated Research center FK-KMK UGM; Department of Computer Science and Electronics FMIPA UGM"		Gunadi et al														
Taiwan/NTU27/2020	EPI_ISL_447621	"Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine"		Shiou-Hwei Yeh et al A														
UnitedArabEmirates/L1014/2020	EPI_ISL_435127	Al Jalila Genomics Center		Ahmad Abou Tayoun et al A (https://dx.doi.org/10.1101/2020.05.06.080606)														
Ireland/OY-NVRL-20G31858/2020	EPI_ISL_605079	Irish Coronavirus Sequencing Consortium - Helixworks		Sachin Chalapati et al														
Egypt/CCHE57357-A-03/2020	EPI_ISL_812785	"Genomics Program, Children Cancer Hospital"		Hatem et al														
Egypt/CCHE57357-P-34/2020	EPI_ISL_812865	"Genomics Program, Children Cancer Hospital"		Hatem et al														
India/WB-IICB-050/2020	EPI_ISL_944783	"CSIR-Indian Institute of Chemical Biology, MEDICA Supercpecialty Hospital Kolkata"		Sujay Krishna Maity et al														
India/WB-IICB-040/2020	EPI_ISL_944763	"CSIR-Indian Institute of Chemical Biology, MEDICA Supercpecialty Hospital Kolkata"		Sujay Krishna Maity et al														
India/WB-IICB-042/2020	EPI_ISL_944768	"CSIR-Indian Institute of Chemical Biology, MEDICA Supercpecialty Hospital Kolkata"		Sujay Krishna Maity et al														
Singapore/34nan/2020	EPI_ISL_648062	"Department of Laboratory Medicine, Tan Tock Seng Hospital"		Chen YYC et al														
Spain/AN-IBV-001925/2020	EPI_ISL_452449	SeqCOVID-SPAIN consortium/IBV(CSIC)		Inmaculada de Toro Peinado et al			Alhaurin de la Torre											
Spain/AN-IBV-001984/2020	EPI_ISL_509621	SeqCOVID-SPAIN consortium/IBV(CSIC)		Inmaculada de Toro Peinado. MªConcepción Mediavilla Gradolph. Begoña Palop Borrás et al			Malaga											
Spain/AN-IBV-001972/2020	EPI_ISL_452410	SeqCOVID-SPAIN consortium/IBV(CSIC)		Inmaculada de Toro Peinado et al			Malaga											
Ireland/D-20G31591/2020	EPI_ISL_848115	Irish Coronavirus Sequencing Consortium - National University of Ireland Galway		Kate Reddington et al														
Norway/2087/2020	EPI_ISL_420151	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al														
Wuhan/HB-WH4-214/2020	EPI_ISL_454963	State Key Laboratory of Biotherapy of Sichuan University		Baowen Du et al														
USA/CA-CZB-3639/2020	EPI_ISL_548368	Chan-Zuckerberg Biohub		CZB Cliahub Consortium et al														
Malaysia/0784/2020	EPI_ISL_501179	"Department of Medical Microbiology, Faculty of Medicine, University of Malaya"		Yoong Min CHONG et al														
Germany/BW-UKT-a118/2020	EPI_ISL_723090	Institute of Medical Genetics and Applied Genomics		Caspar Gross et al														
Argentina/PAIS-C0023/2020	EPI_ISL_792424	"Instituto de Biotecnología, IABIMO (CONICET), Instituto de Virología, IVIT(CONICET), Instituto de Patobiología, IPVET(CONICET), CICVyA, INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)"		König et al														
Spain/PV-IBV-98005192/2020	EPI_ISL_582708	SeqCOVID-SPAIN consortium/IBV(CSIC)		Maitane Aranzamendi Zaldumbide et al			Baracaldo											
Latvia/044/2020	EPI_ISL_486426	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al														
Luxembourg/LNS0744902/2020	EPI_ISL_429761	"Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al														
Netherlands/NH-RIVM-10202/2020	EPI_ISL_804380	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al														
Indonesia/JK-EIJK-0317/2020	EPI_ISL_435282	"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation"		Edison Johar et al														
UnitedArabEmirates/L9766/2020	EPI_ISL_435142	Al Jalila Genomics Center		Ahmad Abou Tayoun et al A (https://dx.doi.org/10.1101/2020.05.06.080606)														
Indonesia/JK-EIJK22/2020	EPI_ISL_766037	"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation"		Frilasita A Yudhaputri et al														
Indonesia/JK-EIJK24/2020	EPI_ISL_574609	"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation"		Frilasita A Yudhaputri et al														
Ireland/CO-20G31755/2020	EPI_ISL_848153	Irish Coronavirus Sequencing Consortium - National University of Ireland Galway		Kate Reddington et al														
Indonesia/KI-EIJK-05/2020	EPI_ISL_467374	"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation"		Edison Johar et al														
Ireland/CO-NVRL-20134/2020	EPI_ISL_414487	UCD National Virus Reference Laboratory		Michael Carr et al														
Wuhan/HB-WH1-122/2020	EPI_ISL_454904	State Key Laboratory of Biotherapy of Sichuan University		Baowen Du et al														
Singapore/1154/2020	EPI_ISL_648072	"Department of Laboratory Medicine, Tan Tock Seng Hospital"		Chen YYC et al														
Malaysia/IMR_WC1170/2020	EPI_ISL_430440	"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia"		Suppiah.J et al														
Singapore/394/2020	EPI_ISL_469143	"National Public Health Laboratory, National Centre for Infectious Diseases"		Mak TM et al														
Israel/CVL-n2820/2020	EPI_ISL_649073	Israel Central Virology laboratory		Neta Zuckerman et al														
Beijing/DT-travelDE01/2020	EPI_ISL_452329	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital		Siyuan Yang et al		Europe												
Wuhan/HB-WH3-179/2020	EPI_ISL_454941	State Key Laboratory of Biotherapy of Sichuan University		Baowen Du et al														
Switzerland/BS-UHB-42189866/2020	EPI_ISL_528055	"University Hospital Basel, Clinical Bacteriology"		Madlen Stange et al														
Singapore/970/2020	EPI_ISL_548978	"National Public Health Laboratory, National Centre for Infectious Diseases"		Mak TM et al														
Singapore/914/2020	EPI_ISL_538438	"Department of Laboratory Medicine, Tan Tock Seng Hospital"		Chen YYC et al														
Indonesia/JI-ITD-150Sp/2020	EPI_ISL_529962	"Institute of Tropical Disease, Universitas Airlangga"		Jezzy R Dewantari et al														
Malaysia/7618/2020	EPI_ISL_501221	"Department of Medical Microbiology, Faculty of Medicine, University of Malaya"		Yoong Min CHONG et al														
Indonesia/YO-EIJK08/2020	EPI_ISL_766032	"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation"		Frilasita A Yudhaputri et al														
HongKong/HKPU-0157/2020	EPI_ISL_610164	"Department of Health Technology and Informatics, The Hong Kong Polytechnic University"		Siu et al														
Spain/AN-IBV-98001998/2020	EPI_ISL_565913	SeqCOVID-SPAIN consortium/IBV(CSIC)		Inmaculada de Toro Peinado et al			Malaga											
Iceland/447/2020	EPI_ISL_424471	deCODE genetics		Daniel F Gudbjartsson et al B (https://dx.doi.org/10.1056/NEJMoa2006100)														
Singapore/159nan/2020	EPI_ISL_477177	Department of Laboratory Medicine Tan Tock Seng Hospital		Chen YYC et al														
England/OXON-B36A0/2020	EPI_ISL_534878	COVID-19 Genomics UK (COG-UK) Consortium		Tanya Golubchik et al A														
Singapore/1013/2020	EPI_ISL_574498	"National Public Health Laboratory, National Centre for Infectious Diseases"		Tze Minn Mak et al														
Wuhan/HB-WH4-206/2020	EPI_ISL_454956	State Key Laboratory of Biotherapy of Sichuan University		Baowen Du et al														
USA/CA-CSMC67/2020	EPI_ISL_475681	"Cedars-Sinai Medical Center, Molecular Pathology Laboratory of Department of Pathology & Laboratory Medicine and Genomic Core"		Wenjuan Zhang et al														
Egypt/CCHE57357-A-69/2020	EPI_ISL_812839	"Genomics Program, Children Cancer Hospital"		Hatem et al														
HongKong/HKPU-01143/2020	EPI_ISL_1018119	"Department of Health Technology and Informatics, The Hong Kong Polytechnic University"		Gilman Kit-Hang Siu et al														
Wuhan/HB-WH4-207/2020	EPI_ISL_455389	State Key Laboratory of Biotherapy of Sichuan University		Baowen Du et al														
India/TG-CCMB-J300/2020	EPI_ISL_458080	CSIR-Centre for Cellular and Molecular Biology		Sakshi Shambhavi et al														
Netherlands/GE-EMC-215/2020	EPI_ISL_523197	Erasmus Medical Center		Bas Oude Munnink et al														
Netherlands/ZH-EMC-354/2020	EPI_ISL_523694	Erasmus Medical Center		Bas Oude Munnink et al														
Netherlands/ZH-EMC-394/2020	EPI_ISL_523734	Erasmus Medical Center		Bas Oude Munnink et al														
England/CAMB-7D745/2020	EPI_ISL_441711	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		Luke W Meredith et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)														
Israel/n14289/2020	EPI_ISL_483725	Israel Central Virology laboratory		Neta Zuckerman et al														
England/BRIS-1305F8/2020	EPI_ISL_492530	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		Stephanie Hutchings et al														
USA/WI-CDC-0946/2020	EPI_ISL_509705	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"		Ying Tao et al A														
Germany/BW-UT-003/2020	EPI_ISL_485811	"NGS Competence Center Tübingen, Institut für Medizinische Mikrobiologie und Hygiene, Universitätsklinikum Tübingen"		Angelov et al. et al			Tuebingen											
Egypt/CCHE57357-A-26/2020	EPI_ISL_812802	"Genomics Program, Children Cancer Hospital"		Hatem et al														
England/PORT-2CF627/2020	EPI_ISL_461970	COVID-19 Genomics UK (COG-UK) Consortium		Angela Beckett et al														
Iran/Urmia-931U/2020	EPI_ISL_1014684	National Influenza Center		A Nejati et al														
UnitedArabEmirates/0006/2020	EPI_ISL_698218	G42 Healthcare		Rong Liu et al														
UnitedArabEmirates/0005/2020	EPI_ISL_698217	G42 Healthcare		Rong Liu et al														
Bangladesh/NIB-BCSIR-02/2020	EPI_ISL_458133	"Bioinformatics Division, National Institute of Biotechnology"		Mohammad Uzzal Hossain et al														
Germany/BW-UT-005/2020	EPI_ISL_485813	"NGS Competence Center Tübingen, Institut für Medizinische Mikrobiologie und Hygiene, Universitätsklinikum Tübingen"		Angelov et al. et al			Tuebingen											
UnitedArabEmirates/0532/2020	EPI_ISL_698694	G42 Healthcare		Rong Liu et al														
UnitedArabEmirates/0115/2020	EPI_ISL_698305	G42 Healthcare		Rong Liu et al														
UnitedArabEmirates/0064/2020	EPI_ISL_698272	G42 Healthcare		Rong Liu et al														
UnitedArabEmirates/0555/2020	EPI_ISL_698716	G42 Healthcare		Rong Liu et al														
Egypt/CCHE57357-P-37/2020	EPI_ISL_812867	"Genomics Program, Children Cancer Hospital"		Hatem et al														
Singapore/472cul/2020	EPI_ISL_574492	"National Public Health Laboratory, National Centre for Infectious Diseases"		Tze Minn Mak et al														
USA/NC-UNC-LCCC0036/2020	EPI_ISL_877619	Dirk Dittmer		Razia Moorad et al														
USA/WY-UNM-00132/2020	EPI_ISL_614250	"Center for Global Health, University of New Mexico Health Sciences Center"		Daryl Domman et al														
